               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.9031,              1.9041,              1.6134,             0.85681,             0.69775,              0.8067,             0.57357,                   0,                   0,                   0,            0.070169,           0.0033145,           0.0033145
                   1,              1.6916,              1.1676,              1.4684,               0.738,             0.73051,             0.81734,              0.5686,                   0,                   0,                   0,             0.03995,           0.0064285,           0.0064285
                   2,              1.7309,              1.1701,              1.4613,             0.81788,             0.70912,             0.79079,             0.52988,                   0,                   0,                   0,           0.0095107,           0.0093224,           0.0093224
                   3,              1.7584,              1.1545,              1.4899,             0.72451,             0.77246,             0.78728,             0.52286,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   4,              1.7606,              1.0961,              1.4892,             0.79735,             0.79692,             0.83888,              0.5732,                   0,                   0,                   0,             0.00901,             0.00901,             0.00901
                   5,              1.7144,              1.0501,              1.4901,             0.83786,             0.79066,             0.85573,             0.59265,                   0,                   0,                   0,             0.00868,             0.00868,             0.00868
                   6,              1.7163,              1.0303,               1.483,             0.83388,             0.77225,             0.84095,             0.57539,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                   7,              1.7124,              1.0004,               1.491,             0.85663,             0.82252,             0.87145,             0.61186,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                   8,              1.6791,             0.96812,              1.4655,             0.84277,              0.8324,             0.87218,              0.5956,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                   9,              1.6232,              0.9405,              1.4652,             0.86135,             0.83776,             0.88054,             0.62341,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  10,              1.6422,             0.93388,              1.4508,             0.86629,             0.79955,             0.87707,             0.63957,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  11,              1.6079,             0.89563,              1.4223,             0.84735,             0.83365,              0.8936,             0.63696,                   0,                   0,                   0,              0.0067,              0.0067,              0.0067
                  12,              1.5785,             0.88817,              1.4289,             0.90126,             0.82417,             0.90365,             0.66439,                   0,                   0,                   0,             0.00637,             0.00637,             0.00637
                  13,              1.5726,             0.87706,              1.4188,              0.8899,             0.86883,             0.91225,             0.67334,                   0,                   0,                   0,             0.00604,             0.00604,             0.00604
                  14,              1.5623,             0.85595,              1.3928,             0.89557,             0.86681,             0.91276,             0.66966,                   0,                   0,                   0,             0.00571,             0.00571,             0.00571
                  15,              1.4583,             0.73933,              1.4609,             0.89863,             0.85437,              0.8954,             0.65859,                   0,                   0,                   0,             0.00538,             0.00538,             0.00538
                  16,              1.4543,             0.73505,              1.4405,             0.87956,             0.87006,             0.91659,             0.66748,                   0,                   0,                   0,             0.00505,             0.00505,             0.00505
                  17,              1.4325,             0.71194,              1.4191,             0.88102,             0.85448,             0.91411,             0.68614,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                  18,              1.4058,             0.69315,              1.4153,             0.85929,             0.85256,             0.89758,             0.65909,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                  19,              1.3879,             0.67703,               1.423,             0.88196,             0.86002,             0.91103,             0.66449,                   0,                   0,                   0,             0.00406,             0.00406,             0.00406
                  20,              1.3859,             0.66686,              1.4125,             0.89185,             0.86015,             0.91113,             0.67014,                   0,                   0,                   0,             0.00373,             0.00373,             0.00373
                  21,              1.3805,             0.65974,              1.3902,             0.87435,             0.87996,              0.9178,             0.68518,                   0,                   0,                   0,              0.0034,              0.0034,              0.0034
                  22,              1.3611,              0.6438,              1.3967,             0.89427,             0.87059,             0.92117,             0.69264,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  23,              1.3526,             0.63795,              1.3635,             0.91097,             0.86497,             0.92073,             0.69522,                   0,                   0,                   0,             0.00274,             0.00274,             0.00274
                  24,              1.3312,             0.62528,              1.3585,             0.89149,             0.89499,             0.92516,             0.70335,                   0,                   0,                   0,             0.00241,             0.00241,             0.00241
                  25,              1.3105,             0.60454,              1.3603,             0.91481,             0.87338,              0.9308,             0.70149,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  26,              1.2889,             0.59517,               1.358,             0.90559,             0.88155,             0.93348,             0.70963,                   0,                   0,                   0,             0.00175,             0.00175,             0.00175
                  27,              1.2828,             0.58542,              1.3496,             0.89605,             0.90482,             0.93556,              0.7199,                   0,                   0,                   0,             0.00142,             0.00142,             0.00142
                  28,              1.2768,             0.57819,              1.3337,             0.91392,             0.90015,             0.93577,             0.71616,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  29,              1.2514,             0.55905,              1.3413,             0.91853,             0.90967,             0.94022,             0.72167,                   0,                   0,                   0,             0.00076,             0.00076,             0.00076
